Fourth Week,Learning path,Program,Note,Attachment,Trainer,Notes,Notes 2,Start date,End date
0 – Set up your Icecat Journey,Onboarding week,"'- Icecat guideline

#NAME?

- Set up / try your email address, FO and BO account.
1. Front Office (FO): to create here  
2. Back Office (BO): (different e-mail from FO) + ask to support@icecat.biz/your team to change it to account manager instead of shop. URL BO.

#NAME?
1. go into the Back Office (BO)
2. go to USER, enter your FO login. 
3. add: full XML - your language + ENG - every verticals. 

- Icecat blog: Icecat news, articles, studies are here

#NAME?
FYI target at least 500 connections. + a bit of help here.

- Please set your signature based on our current email signature ->
Name
Team X | Support | Icecat N.V.
E : X@icecat.com
Linkedin profile

www.icecat.com

DISCLAIMER:
This message is intended only for the use of the person(s) to whom it is addressed (“intended recipient""). It may contain information which is privileged and confidential within the meaning of applicable law. If you are not the intended recipient, please contact the sender as soon as possible. The views expressed in this communication may not necessarily be the views held by Icecat NV, iMerge BV or its daughter companies, and may not be interpreted as a legal agreement or contract.

#NAME?
You can add anything you want, leasures, fun facts, etc. :)","WIFI AMSTERDAM OFFICE
Id : ICEcat Amsterdam
Password : Iloveicecat15",2024-07-19 14.17.49.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/LdAEEt14mNke0f0-nFhufg/IJMq0H_ZPrCYPjEPDAXT7DThWunJM0sBbpTvTTvnSsF0d8LbADvlx0O_ahugwDYNlhU-To2lCc1Mk2TV6VyvnF5WlUiBWh8RC_FF1goNag2V4VH3Dq1Brc1TF_OtiRuSg6P9cHp5xWBHTta1hWwULDnpRiwo9WCk2AtqkTG32dM/oTb4HFFAUJ2vPAavUv00zSg1eyX5jfnWlR2xIFr5op8),,,,,
1 – Get to know Icecat - Mission & Vision,Onboarding week,"'- What's Icecat? What's a saas solution?

#NAME?

- Why final consumer needs clean product data (quality website, conversion, time to market, filters)?

#NAME?
Try to put yourself in the head of each side: 
Where does the data go? From where to where ? How ? How long? etc. Create workflows (schemas) for the retailer part and for the brand part. It should answer these questions: 
- How does the brands/manufacturers work WITHOUT Icecat? and WITH Icecat? 
- How does the retailers works WITHOUT Icecat / and WITH Icecat?     

TASK 2: Duplicate this doc and find the meaning of each keywords. Help yourself with google schemas, chapgpt etc do you best to understand them all so we can review your explanation together. ",Your paragraph text.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/wweeNnu5mliEE1drGxByZA/llIGM_P51-eFXLW3iynqpsxHe1R9Oei4GJdYnTb3G5Ahx5xiKLcUz5h67lQLIwnqA3D_NJhSVglUJn17XQjznhoS4QYZcIEi9L1qRZSy9qXPNLasDT7V7vVy2YKfIdpkVD6Xuyz333KSLUNxuHG1fWClynghrxUmFhFt7XEKUgI/z2dSJyN1V1KEh9f5WMu6Ib1jAB6B4ScSOmS3op2PuBE),Lana,,,,
2 – Push and Pull Dynamics,Onboarding week,"Icecat has two ways of accepting and sharing data. These are called pull and push. 
Through pull, someone fetches data from the source of the data (or an outsourced source, such as Icecat). Through push, someone gets the data delivered to their environment.

The whole process is quite similar to the supermarket and consumer relationships. Nowadays, consumers can buy the product from the supermarket (pull) or get it delivered to its address once they share all the delivery specifications (push).

From Icecat's perspective, the process starts with brands, which are the data source. Once brands share their data with us, Icecat standardises and distributes them to content channels.",,Untitled-3-2.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/eETF4LbbP4U15BCq0rZ4Ow/Kgts6YeBEdqHG5nn15CmXzvpEhgKu1lf82B8t6xSrZgnttuXLP9C35NdwTtFdVSJXLM1MBEK71ZHu9llHbdmH30YtlxPIsJ34w9C-0fA9WutTIgbwENJTcEYsrv4MKXu6bgLwxGJ1AK9_T_ZJ9fz8g/gb7ul7s14ut604mAIiFeL138Ud0kTcCh5uOpBO7om0Q),Yagiz Cekic,,,,
3 – Let's deep dive in your region / vertical! ,Onboarding week,"Every region & vertical have their specificities! 
Book a 30min session to deep dive in it. 
Your team will help you to find the right colleagues and set up a lesson! ","- You can find blog posts on iceclog and if you want some examples of posts / region. 
Have a look here

- If you want vertical insides, just use a keyword in Iceclog's search bar. 
Example

- You will pitch your region at the end of the training to other interns",,Anyone,,,,
4 – Icecat Front Office (FO),Onboarding week,"FO Link : www.icecat.biz 
#NAME?
#NAME?
- Checklist","- Deep diving into what is a data-sheet and what brands are sponsors
#NAME?
#NAME?
- What are the use of PCF / Why PIF? ",,Sandra,,,,
5 – Icecat Back office (BO),Onboarding week,"- Product Search
#NAME?
#NAME?
#NAME?
BO checklist",Test your knowledge here ,HOW TO USE THE ICECAT BACK OFFICE (1).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/bYV_YUmKX6pQG1gZELUxvw/v_wmQrlG2_-aqhKX4sMGdSeVIPLpZYFlSS4lCxk5c22MQxGe_S5mrjtAhIaeJKHYLQkebYg2XXBlSkc1IOv3kCJML93U_5Q-aHSxZj5BXwf8FTr9zsYAj0MCNj91zR5xibSuI5k_AAw6PFuIos8PVV-KzUBiS7ZqtiSKu-sN4ZqOM8juEiIMwlmojM-dVyKi/W2AI2yyNgw5d_LqQgQtAArsKWx_qViQwFOhD0PVycpE),Sandra,,,,
6 – KPIs and Personal Sales Plan,Onboarding week,"As an intern your manager will communicate KPIs with you. And as a new employee it will also be in your Icecat contract. 
Take some time to think through how you best can achieve your KPIs, and break it down to weekly goals. Check this out!",,,Lana,,,,
Let's sum up the training,Onboarding week,,"Test your knowledge! with this Quiz!
Bonus 1 : here.",Motivational Quotes LinkedIn Banner.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/1R9ghZV6SYnl92l4cJmZzg/qTqoQGywChTbhNz1Q-xCpt14vUEzE6nFXTlfNs2g8d8TysmdHbnA3jpMe9kGv9u7mPs40pzIDThOu2x8T-oP10vCNkim3lVXdG3nwtjVijHigl4igcGzwzv1w2kpcZKjQOrgLaf9SGNSEfxdSdgHySmnl3m6ZZwgS1mJoWxnKo4iI6o6bvLpcQEi7WCPAR38/MF1P6T09VjbLiwdROjhEDEOeIpSGhK6ofAPI-K-87FE),Fede,,,,
Bonus 2 - XML, JSON, CSV and Live,Onboarding week,"More info here.

Documentation on Iceclog : 
JSON format -> more popular format
XML format
CSV format 
LIVE format (javascript)
Doc for similar product here.",Try to understand each documentation thanks to chatgpt. Find the best prompt to help you understand1,,Bertrand,,,,
1 – The Brands Perspective,Onboarding week,"Brands need to be in control of their product information, this is challenging as they have many products and many sales channels. In this block, you'll learn more about the Brands perspective. pim - template - etc.
Tuto here.
Needs to know with which brands are we working? Bookmark it 
- List why the brand selected should work with us.",,Vitto,,,,
2 – Icecat Brand cloud ,Onboarding week,"'- Icecat free Brand Cloud program : what is it? blog post - presentation
#NAME?
#NAME?
- FYI if you have any issue related to a brand cloud user, contact your team mate & vendorcentral@icecat.com",,,Yagiz Cekic,,,,
3 – The Brands in your market,Onboarding week,"Please find here our brands sponsors.

Here you can extract a list of all brands on icecat","- Research the brands in your own market.
- Which questions can you ask to a brand?",,Anyone,,,,
4 – Product Stories / Below the Fold (BTF),Onboarding week,"Icecat product stories (rich content) helps brands showcase their products and features as a shop in the shop experience in their partners webshops.
#NAME?
- How a brand can create product story ? here (Icecat Studio)
- Video tuto here. + here.","Check this out: 
#NAME?
#NAME?
- Try to copy paste an Icecat HTML here to have an Icecat PS",,Vitto,,,,
5 – Icecat Studio,Onboarding week,"'- NEW: Icecat Studio video & PPT
#NAME?
#NAME?
#NAME?
PIM: studio.icecat.biz
Video Guidelines ""How to create the first product story via p.e.t (Product Enrichment Tool)."" video
- User Guide: Icecat studio guide + how to create your first product story
- analystics / statistics explanation is attached",,Icecat Product Story Reporting and Dashboard (1.6) blurred.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/AKpfya7xDaDHG3hyjo79iw/UimYzV3GLDE1doNN7Fjb3yYiWNUCj-73PF2jGuHn091aUQN4MqPOBdz6tn7qQKGfF0ttDbkiH9QMQZlZUWQnyUxJAi2d7Q-ymnBnrp5JcpgjEN88MoTgbPK2Ib30pYjyd0u9E465fV-N25LCImy921PfvvjefBlf0fbFHOlpMiYHisIL7_xK8ewqtRXW-yZRowXE3L58KSzcmCQTS185sw/z9feeGcmvFm8AXmE3q2-W_jZnc55n4dOQpliL2WmCNk),Sandra,,,,
6 – Case study,Onboarding week,Find some case studies demonstrating how Icecat helps clients through rich content.,"Check out these case studies: 
#NAME?
#NAME?
#NAME?
#NAME?
Please make a list of questions.",,You,,,,
7 – Amazon ,Onboarding week,"Here are Brother and Asus - Amazon business cases. 
#NAME?
- Brother ","Check out this video explanation here
And this pitch deck in ppt attached.",Pitch Deck Amazon Onboarding (1).pptx (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/pqVj5QhW3e98HRFsn0DHlg/Y3mpqM-LgVx5QuBrLVOhQhvY1lgmm0jm9dqTjgQxh6P28RtF1My0mQwQXWkFeRoHuSKwKtvj8u7R_50KR2sbYwz1RrNNiKyvJeTbWnQTZvQ7fA1caPs0s0L5d9g-bJWqF7rnDV8LO5YnMMWmNL89CD6-E4N2IdHEZzkFlaNpt4IOR34kqNzAeJwKtHMXn7Zc/045ngKvuZt-_DClFYbOcXP_8pj9NrDaoIKinGXUGsDg),Sandra,,,,
9 – Brand pricing ,Onboarding week,"Here the brand calculator.
Once a brand is a sponsor = paying client -->
- Send brand contract to vendorcentral@icecat.com and administratie@icecat.biz
- Sent content/ intro to Vlada at data@icecat.biz
#NAME?
- Marketing actions, some examples here. Or here: Emailing template + PPT to attach or check up the pdf on the right (marketing can help) -> make a marketing intro with the marketing lead at Icecat. ",- Find 5 non-sponsor brands to contact in your region/ vertical,,Lana,,,,
Let's sum up the training,Onboarding week,,"Little quiz here!
Check out the Icecat proposal PDF, any questions?
Check out this brand business case ! ","Icecat Services Proposal Brands.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/WS6k4_9rKE8VoNHAe9lbNg/50pmiFZn0EiiHbVwX56VIg7kOa606lfSMWq486Vwd8jt2ca81hjVr9GeV5yyHuJXzrgy2J68qrssmyOuEbx7F2VEfmXIvLOeJced4713eMtPCAmBANBpZGBJKSfPPrARX1DnLrRSXiH9yPpv4dNIuZmkxtUFbdnT9DeirX1rFhs94fLR1OVBCbVApZVEu9PB/10jQrX4l1bNtjUWGl62ao5Vl36bOXowSVIjKjb72H8k),Motivational Quotes LinkedIn Banner (1).jpg (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/R_3tlc2axu9tddAo7k6GjA/KtRIXXPTJHPqWW1iG6XsrHdvZlktOKFVRj41OOR1zXba7q7hQxaxlmP2FtWbpcHjpFMjcI3_8DE6bHjmkR9m-cuvUPGVx8AO9hCbfBZweFyiEf6tgb0WOj4If6pEYx5I9-mYl_0oq9zWkNb5oY4yIgd_5KvPTZ0NZaontHzT98p-9Zlo829UapB50ybTFFPj/8ssaX_JbpfdhCa7c0X7zaKv4E4c6bS7_edkJcrb6iJE)",Maria,,,,
1 – Retailers perspective,Third week,"Retailer tuto here ! 
,Check this out : our main resellers client / region.
Link is here.",Icecat Services Proposal Retailers (1).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757880000000/hVsu2EAXHPD3gEiXrsJtAg/imCiFIbUZLKTPMys8z-USM3O5PHooLLDz-IuRczbp0pPiR8BWJmgm9MqQLSJhqNpEGOs-60ocg0aptezHmTITWyhkmgVCgMDtjfgR3AHBPsKTlqX2R7hvE4Faef-hv12GFVyg87tsUeOdxr0cfc72QYbTKTbyUHOCQqDIi1fhzEk0ill4lpRzdqiO1h2Y452/PUAf2KPLPJmOTipcS40XG5Q3ZQXfK9wmD42DJj6KdKc),Fede,,,,
2 – Taxonomy,Third week,What's a taxonomy? Where to find it in Icecat?,,,Bertrand,,,,
3 – Marketplaces,Third week,"Mirakl business case here & presentation attached.
Carrefour business case. (keywords & quotation included)",,,Sandra,,,,
4  – Retailers case study,Third week,"Presentation here.
Nordic Elkjop
Danish AvXperten
Polish MediaMarkt by Bence",,,Yagiz Cekic,,,,
5 – Prices and Contracts,Third week,"Contracts on ressources tab.
Pricing here.",,,Lana,,,,
6- API round 2,Third week,"Icecat Live API (granular calls, real-time product data)
""""•"""" JSON & XML manuals (requests, error handling, structured data)""""
""""•"""" Push API """"
""""•"""" Access tokens, IP whitelists""""",,,Yagiz Cekic,,,,
