key,lang,status,message
"0195950643510",EN,OK,""
"0195950643718",EN,OK,""
"0195950643916",EN,OK,""
"0195950644111",EN,OK,""
"0195950644319",EN,OK,""
"0195950644517",EN,OK,""
"0195950644715",EN,OK,""
"0195950644913",EN,OK,""
"0195950645118",EN,OK,""
"0195950645316",EN,OK,""
"0195950623192",EN,OK,""
"0195950623390",EN,OK,""
"0195950623598",EN,OK,""
"0195950623796",EN,OK,""
"0195950623994",EN,OK,""
"0195950624199",EN,OK,""
"0195950624397",EN,OK,""
"0195950624595",EN,OK,""
"0195950624793",EN,OK,""
"0195950627176",EN,OK,""
"0195950627374",EN,OK,""
"0195950627572",EN,OK,""
"0195950627770",EN,OK,""
"0195950627978",EN,OK,""
"0195950628173",EN,OK,""
"0195950628371",EN,OK,""
"0195950628579",EN,OK,""
"0195950628777",EN,OK,""
"0195950638820",EN,OK,""
"0195950639025",EN,OK,""
"0195950639223",EN,OK,""
"0195950639421",EN,OK,""
"0195950639629",EN,OK,""
"0195950639827",EN,OK,""
"0195950640021",EN,OK,""
"0195950640229",EN,OK,""
"0195950640427",EN,OK,""
"0195950640625",EN,OK,""
"0195950640823",EN,OK,""
"0195950641028",EN,OK,""
"195950429473",EN,OK,""
"195950429657",EN,OK,""
"195950430011",EN,OK,""
"195950430196",EN,OK,""
"195950430554",EN,OK,""
"195950430738",EN,OK,""
"195950431094",EN,OK,""
"195950431278",EN,OK,""
"195950386547",EN,OK,""
"195950386745",EN,OK,""
"195950387148",EN,OK,""
"195950387346",EN,OK,""
"195950387742",EN,OK,""
"195950387940",EN,OK,""
"195950388343",EN,OK,""
"195950388541",EN,OK,""
"195950468632",EN,OK,""
"195950468816",EN,OK,""
"195950469172",EN,OK,""
"195950469356",EN,OK,""
"195950469714",EN,OK,""
"195950469899",EN,OK,""
"195950470253",EN,OK,""
"195950470437",EN,OK,""
"195950470796",EN,OK,""
"195950470970",EN,OK,""
"195950471151",EN,OK,""
"195950471519",EN,OK,""
"195950471694",EN,OK,""
"195950471878",EN,OK,""
"195950472233",EN,OK,""
"195950472417",EN,OK,""
"195950472592",EN,OK,""
"195950475753",EN,OK,""
"195950476118",EN,OK,""
"195950476620",EN,OK,""
"195950476804",EN,OK,""
"195950477191",EN,OK,""
"195950477375",EN,OK,""
"195950477764",EN,OK,""
"195950477955",EN,OK,""
"195950478310",EN,OK,""
"195950478495",EN,OK,""
"195950478679",EN,OK,""
"195950478853",EN,OK,""
"195950479034",EN,OK,""
"195950479218",EN,OK,""
"195950479393",EN,OK,""
"195950479577",EN,OK,""
"195950479751",EN,OK,""
"195950479935",EN,OK,""
"195950480115",EN,OK,""
"195950480290",EN,OK,""
"195950466782",EN,OK,""
"195950460254",EN,OK,""
"195950460636",EN,OK,""
"195950460827",EN,OK,""
"195950461206",EN,OK,""
"195950461398",EN,OK,""
"195950461770",EN,OK,""
"195950461961",EN,OK,""
"195950462586",EN,OK,""
"195950462777",EN,OK,""
"195950463156",EN,OK,""
"195950463347",EN,OK,""
"195950463729",EN,OK,""
"195950463910",EN,OK,""
"195950464290",EN,OK,""
"195950464481",EN,OK,""
"195950481150",EN,OK,""
"195950481495",EN,OK,""
"195950481839",EN,OK,""
"195950482171",EN,OK,""
"195950482515",EN,OK,""
"195950482850",EN,OK,""
"195950483192",EN,OK,""
"195950483536",EN,OK,""
"195950483871",EN,OK,""
"195950484212",EN,OK,""
"195950484557",EN,OK,""
"195950484892",EN,OK,""
"195950485233",EN,OK,""
"195950485578",EN,OK,""
"195950485912",EN,OK,""
"195950486254",EN,OK,""
"195950486599",EN,OK,""
"195950486933",EN,OK,""
