key,lang,status,message
"Hills:10012",EN,ERROR,"No match for provided identifiers"
"Hills:4013",EN,ERROR,"No match for provided identifiers"
"Hills:604255",EN,ERROR,"No match for provided identifiers"
"Hills:604236",EN,ERROR,"No match for provided identifiers"
"Hills:604345",EN,ERROR,"No match for provided identifiers"
"Royal Canin:S25479",EN,ERROR,"No match for provided identifiers"
"Belcando:556515",EN,ERROR,"No match for provided identifiers"
"Belcando:557815",EN,ERROR,"No match for provided identifiers"
"Belcando:556625",EN,ERROR,"No match for provided identifiers"
"Belcando:557525",EN,ERROR,"No match for provided identifiers"
"Kukkia Finland:WWF003",EN,ERROR,"No match for provided identifiers"
"Kukkia Finland:INT-12760",EN,ERROR,"No match for provided identifiers"
"Kukkia Finland:INT-10758",EN,ERROR,"No match for provided identifiers"
"Kukkia Finland:BLOSSOM11",EN,ERROR,"No match for provided identifiers"
"Interflora:ATGB0100",EN,ERROR,"No match for provided identifiers"
"Interflora:ACDHT0100",EN,ERROR,"No match for provided identifiers"
"Bloom & Wild:3299",EN,ERROR,"No match for provided identifiers"
"Bloom & Wild:69192",EN,ERROR,"No match for provided identifiers"
"1-800-Flowers:1001-P-191167",EN,ERROR,"No match for provided identifiers"
"1-800-Flowers:1001-P-156598",EN,ERROR,"No match for provided identifiers"
"Joyetech:EGO_AIO_D16_BK",EN,ERROR,"No match for provided identifiers"
"Joyetech:EGO_NANO_KIT",EN,ERROR,"No match for provided identifiers"
"glo:ED492",EN,ERROR,"No match for provided identifiers"
"glo:ED320",EN,ERROR,"No match for provided identifiers"
"Eleaf:ISTICK_PICO_75W_WHT",EN,ERROR,"No match for provided identifiers"
"Eleaf:MINI_ISTICK_10W_RED",EN,ERROR,"No match for provided identifiers"
"Vuse:VUSE RELOAD PEN BLUEBERRY RASPBERRY BLUE",EN,ERROR,"No match for provided identifiers"
"Vuse:VUSE PRO DEVICE KIT GOLD",EN,ERROR,"No match for provided identifiers"
"Geek Bar:GEEK BAR ELITE 1000 COLA ICE",EN,ERROR,"No match for provided identifiers"
"Geek Bar:GEEK BAR MELOSO MINI BANANA ICE",EN,ERROR,"No match for provided identifiers"
"Vitabalans:16627",EN,ERROR,"No match for provided identifiers"
"Allegra K:1-00-41167-42326-4",EN,ERROR,"No match for provided identifiers"
"Bayer:CLARITIN LIQUID",EN,ERROR,"No match for provided identifiers"
"Bayer:CLARITIN CHEWABLES",EN,ERROR,"No match for provided identifiers"
"Bayer:CLARITIN-D",EN,ERROR,"No match for provided identifiers"
"Verman:DESLOX5MG",EN,ERROR,"No match for provided identifiers"
"Verman:KESTOX10MG30",EN,ERROR,"No match for provided identifiers"
"Verman:NENOXIN",EN,ERROR,"No match for provided identifiers"
"Verman:OCUTIFEX",EN,ERROR,"No match for provided identifiers"
"Verman:HEINIX10MG30",EN,ERROR,"No match for provided identifiers"
"Galena Pharma:YSKäHUNAJA",EN,ERROR,"No match for provided identifiers"
"Apteq:9264186-1",EN,ERROR,"No match for provided identifiers"
"Apteq:12238",EN,ERROR,"No match for provided identifiers"
"Vitabalans:KATAPEKT",EN,ERROR,"No match for provided identifiers"
"Dr. C. SOLDAN:7666386",EN,ERROR,"No match for provided identifiers"
"Manuka Health:WH95",EN,ERROR,"No match for provided identifiers"
"Vicks:323900039209",EN,ERROR,"No match for provided identifiers"
"Vicks:323900030862",EN,ERROR,"No match for provided identifiers"
"Vicks:323900041226",EN,ERROR,"No match for provided identifiers"
"Vicks:323900041219",EN,ERROR,"No match for provided identifiers"
"Essence:954316",EN,ERROR,"No match for provided identifiers"
"Essence:954315",EN,ERROR,"No match for provided identifiers"
"Essence:942239",EN,ERROR,"No match for provided identifiers"
"Essence:942219",EN,ERROR,"No match for provided identifiers"
"Essence:934872",EN,ERROR,"No match for provided identifiers"
"Depend:291010132",EN,ERROR,"No match for provided identifiers"
"Depend:291010124",EN,ERROR,"No match for provided identifiers"
"CATRICE:951621",EN,ERROR,"No match for provided identifiers"
"CATRICE:951649",EN,ERROR,"No match for provided identifiers"
"CATRICE:954158",EN,ERROR,"No match for provided identifiers"
"Essence:954284",EN,ERROR,"No match for provided identifiers"
"Essence:946635",EN,ERROR,"No match for provided identifiers"
"Essence:932366",EN,ERROR,"No match for provided identifiers"
"Essence:949164",EN,ERROR,"No match for provided identifiers"
"Essence:954272",EN,ERROR,"No match for provided identifiers"
"Maybelline:41554564846",EN,ERROR,"No match for provided identifiers"
"Maybelline:B34213",EN,ERROR,"No match for provided identifiers"
"L’Oréal Paris:30149502",EN,ERROR,"No match for provided identifiers"
"L’Oréal Paris:3600523465231",EN,ERROR,"No match for provided identifiers"
"L’Oréal Paris:3054080009061",EN,ERROR,"No match for provided identifiers"
"Mystim:6303003",EN,ERROR,"No match for provided identifiers"
"Mystim:6303202",EN,ERROR,"No match for provided identifiers"
"Mystim:6303402",EN,ERROR,"No match for provided identifiers"
"Satisfyer:4061504001050",EN,ERROR,"No match for provided identifiers"
"Satisfyer:4009889",EN,ERROR,"No match for provided identifiers"
"Satisfyer:4059945",EN,ERROR,"No match for provided identifiers"
"Satisfyer:LX11532B",EN,ERROR,"No match for provided identifiers"
"Fun Factory:4130000",EN,ERROR,"No match for provided identifiers"
"Fun Factory:46011",EN,ERROR,"No match for provided identifiers"
"Fun Factory:10001",EN,ERROR,"No match for provided identifiers"
"Glovii:GJ1GM",EN,ERROR,"No match for provided identifiers"
"Glovii:GJ1CL",EN,ERROR,"No match for provided identifiers"
"Glovii:GJ1RS",EN,ERROR,"No match for provided identifiers"
"Snickers Workwear:25023900006",EN,ERROR,"No match for provided identifiers"
"Snickers Workwear:25122800006",EN,ERROR,"No match for provided identifiers"
"Snickers Workwear:25163900006",EN,ERROR,"No match for provided identifiers"
"Snickers Workwear:75144100164",EN,ERROR,"No match for provided identifiers"
"ASICS:2012D292.500 S",EN,ERROR,"No match for provided identifiers"
"ASICS:2011D223.301 L",EN,ERROR,"No match for provided identifiers"
"ASICS:2011D390.001 XL",EN,ERROR,"No match for provided identifiers"
"New Balance:MFCPRCC4 42",EN,ERROR,"No match for provided identifiers"
"New Balance:MTNTRGB6 40",EN,ERROR,"No match for provided identifiers"
"New Balance:WMORGR6 35",EN,ERROR,"No match for provided identifiers"
"Skechers:129626RAS 39",EN,ERROR,"No match for provided identifiers"
"Skechers:221000RDMT 40",EN,ERROR,"No match for provided identifiers"
"Skechers:128613WHT 38.5",EN,ERROR,"No match for provided identifiers"
"Skechers:220863BKW 45",EN,ERROR,"No match for provided identifiers"
"ASICS:1011C031.001 39.5",EN,ERROR,"No match for provided identifiers"
"ASICS:1052A069.403_42",EN,ERROR,"No match for provided identifiers"
"ASICS:1011B801.002_44.5",EN,ERROR,"No match for provided identifiers"
"Apple:MU963KS/A",EN,ERROR,"No match for provided identifiers"
"Apple:MU9E3KS/A",EN,ERROR,"No match for provided identifiers"
"HP:C59K5EA",EN,ERROR,"No match for provided identifiers"
"HP:BY8Z4EA",EN,ERROR,"No match for provided identifiers"
"Lenovo:90Y60029MW",EN,OK,""
"Lenovo:90Y6004SMW",EN,OK,""
"Acer:DG.E3ZEQ.00G",EN,ERROR,"No match for provided identifiers"
"Acer:DG.E2VEQ.00X",EN,ERROR,"No match for provided identifiers"
"Acer:DT.BH6EQ.003",EN,ERROR,"No match for provided identifiers"
"HP:A40KVET",EN,ERROR,"No match for provided identifiers"
"Apple:MYJF3KS/A",EN,ERROR,"No match for provided identifiers"
"HP:22J05AA",EN,OK,""
"HP:3G6W0AA",EN,OK,""
"HP:AV4C1AA",EN,OK,""
"HP:780G8AA",EN,OK,""
"Lenovo:68C6GAC4EU",EN,OK,""
"Lenovo:64AEGAT1EU",EN,OK,""
"Philips:27B2N3500J/00",EN,OK,""
"Philips:49B2U6903CH/01",EN,OK,""
"Philips:439P1/00",EN,OK,""
"Apple:MXNA3KN/A",EN,ERROR,"No match for provided identifiers"
"Apple:MCG24KN/A",EN,ERROR,"No match for provided identifiers"
"Apple:MD4H4KN/A",EN,ERROR,"No match for provided identifiers"
"Microsoft:EP2-27187",EN,ERROR,"No match for provided identifiers"
"Microsoft:EP2-27204",EN,ERROR,"No match for provided identifiers"
"Lenovo:ZAG60208SE",EN,OK,""
"Lenovo:ZADA0134SE",EN,OK,""
