key,lang,status,message
"Hills:10012",EN,ERROR,"Missing App Key in Profile"
"Hills:4013",EN,ERROR,"Missing App Key in Profile"
"Hills:604255",EN,ERROR,"Missing App Key in Profile"
"Hills:604236",EN,ERROR,"Missing App Key in Profile"
"Hills:604345",EN,ERROR,"Missing App Key in Profile"
"Royal Canin:S25479",EN,ERROR,"Missing App Key in Profile"
"Belcando:556515",EN,ERROR,"Missing App Key in Profile"
"Belcando:557815",EN,ERROR,"Missing App Key in Profile"
"Belcando:556625",EN,ERROR,"Missing App Key in Profile"
"Belcando:557525",EN,ERROR,"Missing App Key in Profile"
"Kukkia Finland:WWF003",EN,ERROR,"Missing App Key in Profile"
"Kukkia Finland:INT-12760",EN,ERROR,"Missing App Key in Profile"
"Kukkia Finland:INT-10758",EN,ERROR,"Missing App Key in Profile"
"Kukkia Finland:BLOSSOM11",EN,ERROR,"Missing App Key in Profile"
"Interflora:ATGB0100",EN,ERROR,"Missing App Key in Profile"
"Interflora:ACDHT0100",EN,ERROR,"Missing App Key in Profile"
"Bloom & Wild:3299",EN,ERROR,"Missing App Key in Profile"
"Bloom & Wild:69192",EN,ERROR,"Missing App Key in Profile"
"1-800-Flowers:1001-P-191167",EN,ERROR,"Missing App Key in Profile"
"1-800-Flowers:1001-P-156598",EN,ERROR,"Missing App Key in Profile"
"Joyetech:EGO_AIO_D16_BK",EN,ERROR,"Missing App Key in Profile"
"Joyetech:EGO_NANO_KIT",EN,ERROR,"Missing App Key in Profile"
"glo:ED492",EN,ERROR,"Missing App Key in Profile"
"glo:ED320",EN,ERROR,"Missing App Key in Profile"
"Eleaf:ISTICK_PICO_75W_WHT",EN,ERROR,"Missing App Key in Profile"
"Eleaf:MINI_ISTICK_10W_RED",EN,ERROR,"Missing App Key in Profile"
"Vuse:VUSE RELOAD PEN BLUEBERRY RASPBERRY BLUE",EN,ERROR,"Missing App Key in Profile"
"Vuse:VUSE PRO DEVICE KIT GOLD",EN,ERROR,"Missing App Key in Profile"
"Geek Bar:GEEK BAR ELITE 1000 COLA ICE",EN,ERROR,"Missing App Key in Profile"
"Geek Bar:GEEK BAR MELOSO MINI BANANA ICE",EN,ERROR,"Missing App Key in Profile"
"Vitabalans:16627",EN,ERROR,"Missing App Key in Profile"
"Allegra K:1-00-41167-42326-4",EN,ERROR,"Missing App Key in Profile"
"Bayer:CLARITIN LIQUID",EN,ERROR,"Missing App Key in Profile"
"Bayer:CLARITIN CHEWABLES",EN,ERROR,"Missing App Key in Profile"
"Bayer:CLARITIN-D",EN,ERROR,"Missing App Key in Profile"
"Verman:DESLOX5MG",EN,ERROR,"Missing App Key in Profile"
"Verman:KESTOX10MG30",EN,ERROR,"Missing App Key in Profile"
"Verman:NENOXIN",EN,ERROR,"Missing App Key in Profile"
"Verman:OCUTIFEX",EN,ERROR,"Missing App Key in Profile"
"Verman:HEINIX10MG30",EN,ERROR,"Missing App Key in Profile"
"Galena Pharma:YSKäHUNAJA",EN,ERROR,"Missing App Key in Profile"
"Apteq:9264186-1",EN,ERROR,"Missing App Key in Profile"
"Apteq:12238",EN,ERROR,"Missing App Key in Profile"
"Vitabalans:KATAPEKT",EN,ERROR,"Missing App Key in Profile"
"Dr. C. SOLDAN:7666386",EN,ERROR,"Missing App Key in Profile"
"Manuka Health:WH95",EN,ERROR,"Missing App Key in Profile"
"Vicks:323900039209",EN,ERROR,"Missing App Key in Profile"
"Vicks:323900030862",EN,ERROR,"Missing App Key in Profile"
"Vicks:323900041226",EN,ERROR,"Missing App Key in Profile"
"Vicks:323900041219",EN,ERROR,"Missing App Key in Profile"
"Essence:954316",EN,ERROR,"Missing App Key in Profile"
"Essence:954315",EN,ERROR,"Missing App Key in Profile"
"Essence:942239",EN,ERROR,"Missing App Key in Profile"
"Essence:942219",EN,ERROR,"Missing App Key in Profile"
"Essence:934872",EN,ERROR,"Missing App Key in Profile"
"Depend:291010132",EN,ERROR,"Missing App Key in Profile"
"Depend:291010124",EN,ERROR,"Missing App Key in Profile"
"CATRICE:951621",EN,ERROR,"Missing App Key in Profile"
"CATRICE:951649",EN,ERROR,"Missing App Key in Profile"
"CATRICE:954158",EN,ERROR,"Missing App Key in Profile"
"Essence:954284",EN,ERROR,"Missing App Key in Profile"
"Essence:946635",EN,ERROR,"Missing App Key in Profile"
"Essence:932366",EN,ERROR,"Missing App Key in Profile"
"Essence:949164",EN,ERROR,"Missing App Key in Profile"
"Essence:954272",EN,ERROR,"Missing App Key in Profile"
"Maybelline:41554564846",EN,ERROR,"Missing App Key in Profile"
"Maybelline:B34213",EN,ERROR,"Missing App Key in Profile"
"L’Oréal Paris:30149502",EN,ERROR,"Missing App Key in Profile"
"L’Oréal Paris:3600523465231",EN,ERROR,"Missing App Key in Profile"
"L’Oréal Paris:3054080009061",EN,ERROR,"Missing App Key in Profile"
"Mystim:6303003",EN,ERROR,"Missing App Key in Profile"
"Mystim:6303202",EN,ERROR,"Missing App Key in Profile"
"Mystim:6303402",EN,ERROR,"Missing App Key in Profile"
"Satisfyer:4061504001050",EN,ERROR,"Missing App Key in Profile"
"Satisfyer:4009889",EN,ERROR,"Missing App Key in Profile"
"Satisfyer:4059945",EN,ERROR,"Missing App Key in Profile"
"Satisfyer:LX11532B",EN,ERROR,"Missing App Key in Profile"
"Fun Factory:4130000",EN,ERROR,"Missing App Key in Profile"
"Fun Factory:46011",EN,ERROR,"Missing App Key in Profile"
"Fun Factory:10001",EN,ERROR,"Missing App Key in Profile"
"Glovii:GJ1GM",EN,ERROR,"Missing App Key in Profile"
"Glovii:GJ1CL",EN,ERROR,"Missing App Key in Profile"
