key,lang,status,message
"Hills:10012",EN,OK,""
"Hills:4013",EN,OK,""
"Hills:604255",EN,OK,""
"Hills:604236",EN,OK,""
"Hills:604345",EN,OK,""
"Royal Canin:S25479",EN,OK,""
"Belcando:556515",EN,OK,""
"Belcando:557815",EN,OK,""
"Belcando:556625",EN,OK,""
"Belcando:557525",EN,OK,""
"Kukkia Finland:WWF003",EN,OK,""
"Kukkia Finland:INT-12760",EN,OK,""
"Kukkia Finland:INT-10758",EN,OK,""
"Kukkia Finland:BLOSSOM11",EN,OK,""
"Interflora:ATGB0100",EN,OK,""
"Interflora:ACDHT0100",EN,OK,""
"Bloom & Wild:3299",EN,OK,""
"Bloom & Wild:69192",EN,OK,""
"1-800-Flowers:1001-P-191167",EN,OK,""
"1-800-Flowers:1001-P-156598",EN,OK,""
"Joyetech:EGO_AIO_D16_BK",EN,OK,""
"Joyetech:EGO_NANO_KIT",EN,OK,""
"glo:ED492",EN,OK,""
"glo:ED320",EN,OK,""
"Eleaf:ISTICK_PICO_75W_WHT",EN,OK,""
"Eleaf:MINI_ISTICK_10W_RED",EN,OK,""
"Vuse:VUSE RELOAD PEN BLUEBERRY RASPBERRY BLUE",EN,OK,""
"Vuse:VUSE PRO DEVICE KIT GOLD",EN,OK,""
"Geek Bar:GEEK BAR ELITE 1000 COLA ICE",EN,OK,""
"Geek Bar:GEEK BAR MELOSO MINI BANANA ICE",EN,OK,""
"Vitabalans:16627",EN,OK,""
"Allegra K:1-00-41167-42326-4",EN,OK,""
"Bayer:CLARITIN LIQUID",EN,OK,""
"Bayer:CLARITIN CHEWABLES",EN,OK,""
"Bayer:CLARITIN-D",EN,OK,""
"Verman:DESLOX5MG",EN,OK,""
"Verman:KESTOX10MG30",EN,OK,""
"Verman:NENOXIN",EN,OK,""
"Verman:OCUTIFEX",EN,OK,""
"Verman:HEINIX10MG30",EN,OK,""
"Galena Pharma:YSKäHUNAJA",EN,OK,""
"Apteq:9264186-1",EN,OK,""
"Apteq:12238",EN,OK,""
"Vitabalans:KATAPEKT",EN,OK,""
"Dr. C. SOLDAN:7666386",EN,OK,""
"Manuka Health:WH95",EN,OK,""
"Vicks:323900039209",EN,OK,""
"Vicks:323900030862",EN,OK,""
"Vicks:323900041226",EN,OK,""
"Vicks:323900041219",EN,OK,""
"Essence:954316",EN,OK,""
"Essence:954315",EN,OK,""
"Essence:942239",EN,OK,""
"Essence:942219",EN,OK,""
"Essence:934872",EN,OK,""
"Depend:291010132",EN,OK,""
"Depend:291010124",EN,OK,""
"CATRICE:951621",EN,OK,""
"CATRICE:951649",EN,OK,""
"CATRICE:954158",EN,OK,""
"Essence:954284",EN,OK,""
"Essence:946635",EN,OK,""
"Essence:932366",EN,OK,""
"Essence:949164",EN,OK,""
"Essence:954272",EN,OK,""
"Maybelline:41554564846",EN,OK,""
"Maybelline:B34213",EN,OK,""
"L’Oréal Paris:30149502",EN,OK,""
"L’Oréal Paris:3600523465231",EN,OK,""
"L’Oréal Paris:3054080009061",EN,OK,""
"Mystim:6303003",EN,OK,""
"Mystim:6303202",EN,OK,""
"Mystim:6303402",EN,OK,""
"Satisfyer:4061504001050",EN,OK,""
"Satisfyer:4009889",EN,OK,""
"Satisfyer:4059945",EN,OK,""
"Satisfyer:LX11532B",EN,OK,""
"Fun Factory:4130000",EN,OK,""
"Fun Factory:46011",EN,OK,""
"Fun Factory:10001",EN,OK,""
"Glovii:GJ1GM",EN,OK,""
"Glovii:GJ1CL",EN,OK,""
"Glovii:GJ1RS",EN,OK,""
"Snickers Workwear:25023900006",EN,OK,""
"Snickers Workwear:25122800006",EN,OK,""
"Snickers Workwear:25163900006",EN,OK,""
"Snickers Workwear:75144100164",EN,OK,""
"ASICS:2012D292.500 S",EN,OK,""
"ASICS:2011D223.301 L",EN,OK,""
"ASICS:2011D390.001 XL",EN,OK,""
"New Balance:MFCPRCC4 42",EN,OK,""
"New Balance:MTNTRGB6 40",EN,OK,""
"New Balance:WMORGR6 35",EN,OK,""
"Skechers:129626RAS 39",EN,OK,""
"Skechers:221000RDMT 40",EN,OK,""
"Skechers:128613WHT 38.5",EN,OK,""
"Skechers:220863BKW 45",EN,OK,""
"ASICS:1011C031.001 39.5",EN,OK,""
"ASICS:1052A069.403_42",EN,OK,""
"ASICS:1011B801.002_44.5",EN,OK,""
"Apple:MU963KS/A",EN,OK,""
"Apple:MU9E3KS/A",EN,OK,""
"HP:C59K5EA",EN,ERROR,"JSON 404: {\"StatusCode\":15,\"Code\":404,\"Error\":\"Not Found\",\"Message\":\"Products datasheet is not yet released\"}"
"HP:BY8Z4EA",EN,ERROR,"JSON 404: {\"StatusCode\":15,\"Code\":404,\"Error\":\"Not Found\",\"Message\":\"Products datasheet is not yet released\"}"
"Lenovo:90Y60029MW",EN,OK,""
"Lenovo:90Y6004SMW",EN,OK,""
"Acer:DG.E3ZEQ.00G",EN,OK,""
"Acer:DG.E2VEQ.00X",EN,OK,""
"Acer:DT.BH6EQ.003",EN,OK,""
"HP:A40KVET",EN,ERROR,"JSON 404: {\"StatusCode\":15,\"Code\":404,\"Error\":\"Not Found\",\"Message\":\"Products datasheet is not yet released\"}"
"Apple:MYJF3KS/A",EN,OK,""
"HP:22J05AA",EN,OK,""
"HP:3G6W0AA",EN,OK,""
"HP:AV4C1AA",EN,OK,""
"HP:780G8AA",EN,OK,""
"Lenovo:68C6GAC4EU",EN,OK,""
"Lenovo:64AEGAT1EU",EN,OK,""
"Philips:27B2N3500J/00",EN,OK,""
"Philips:49B2U6903CH/01",EN,OK,""
"Philips:439P1/00",EN,OK,""
"Apple:MXNA3KN/A",EN,OK,""
"Apple:MCG24KN/A",EN,OK,""
"Apple:MD4H4KN/A",EN,OK,""
"Microsoft:EP2-27187",EN,OK,""
"Microsoft:EP2-27204",EN,OK,""
"Lenovo:ZAG60208SE",EN,OK,""
"Lenovo:ZADA0134SE",EN,OK,""
"Lenovo:ZAEF0012SE",EN,OK,""
"Lenovo:ZAE40006SE",EN,OK,""
"Lenovo:ZAEG0041SE",EN,OK,""
"Apple:MD1T4QN/A",EN,OK,""
"Apple:MYX23QN/A",EN,OK,""
"Apple:MYEC3QN/A",EN,OK,""
"Honor:6936520873746",EN,OK,""
"OnePlus:5011113506",EN,ERROR,"JSON 404: {\"StatusCode\":8,\"Code\":404,\"Error\":\"Not Found\",\"Message\":\"The requested product is not present in the Icecat database\"}"
"OnePlus:CPH2653",EN,OK,""
"Motorola:PB310003SE",EN,OK,""
"Samsung:SM-S936BLGGEUB",EN,OK,""
"Samsung:SM-A136BZKUEUE",EN,OK,""
"Samsung:SM-G736BZKDEEE",EN,OK,""
"Apple:MX4F3QN/A",EN,OK,""
"Apple:MXGJ3QN/A",EN,OK,""
"Apple:MWYX3QN/A",EN,OK,""
"Apple:MWY23QN/A",EN,OK,""
"Suunto:SS050438000",EN,OK,""
"Suunto:SS050053000",EN,OK,""
"Suunto:SS050463000",EN,OK,""
"Garmin:010-02582-61",EN,OK,""
"Garmin:010-02704-01",EN,OK,""
"Garmin:010-02641-13",EN,OK,""
"Apple:MXP63DN/A",EN,OK,""
"Apple:MTJV3DN/A",EN,OK,""
"Apple:MWW63DN/A",EN,OK,""
"Deltaco Gaming:GAM-128",EN,OK,""
"Deltaco Gaming:GAM-030-W",EN,OK,""
"Jabra:25089-899-899-01",EN,OK,""
"Jabra:5399-823-389-01",EN,OK,""
"Philips:TAG5106BK/00",EN,OK,""
"Philips:SHE2305WT/00",EN,OK,""
"Philips:SHE2405PP/00",EN,OK,""
