key,lang,status,message
"Hills:10012",FI,OK,""
"Hills:4013",FI,OK,""
"Hills:604255",FI,OK,""
"Hills:604236",FI,OK,""
"Hills:604345",FI,OK,""
"Royal Canin:S25479",FI,OK,""
"Belcando:556515",FI,OK,""
"Belcando:557815",FI,OK,""
"Belcando:556625",FI,OK,""
"Belcando:557525",FI,OK,""
"Kukkia Finland:WWF003",FI,OK,""
"Kukkia Finland:INT-12760",FI,OK,""
"Kukkia Finland:INT-10758",FI,OK,""
"Kukkia Finland:BLOSSOM11",FI,OK,""
"Interflora:ATGB0100",FI,OK,""
"Interflora:ACDHT0100",FI,OK,""
"Bloom & Wild:3299",FI,OK,""
"Bloom & Wild:69192",FI,OK,""
"1-800-Flowers:1001-P-191167",FI,OK,""
"1-800-Flowers:1001-P-156598",FI,OK,""
"Joyetech:EGO_AIO_D16_BK",FI,OK,""
"Joyetech:EGO_NANO_KIT",FI,OK,""
"glo:ED492",FI,OK,""
"glo:ED320",FI,OK,""
"Eleaf:ISTICK_PICO_75W_WHT",FI,OK,""
"Eleaf:MINI_ISTICK_10W_RED",FI,OK,""
"Vuse:VUSE RELOAD PEN BLUEBERRY RASPBERRY BLUE",FI,OK,""
"Vuse:VUSE PRO DEVICE KIT GOLD",FI,OK,""
"Geek Bar:GEEK BAR ELITE 1000 COLA ICE",FI,OK,""
"Geek Bar:GEEK BAR MELOSO MINI BANANA ICE",FI,OK,""
"Vitabalans:16627",FI,OK,""
"Allegra K:1-00-41167-42326-4",FI,OK,""
"Bayer:CLARITIN LIQUID",FI,OK,""
"Bayer:CLARITIN CHEWABLES",FI,OK,""
"Bayer:CLARITIN-D",FI,OK,""
"Verman:DESLOX5MG",FI,OK,""
"Verman:KESTOX10MG30",FI,OK,""
"Verman:NENOXIN",FI,OK,""
"Verman:OCUTIFEX",FI,OK,""
"Verman:HEINIX10MG30",FI,OK,""
"Galena Pharma:YSKäHUNAJA",FI,OK,""
"Apteq:9264186-1",FI,OK,""
"Apteq:12238",FI,OK,""
"Vitabalans:KATAPEKT",FI,OK,""
"Dr. C. SOLDAN:7666386",FI,OK,""
"Manuka Health:WH95",FI,OK,""
"Vicks:323900039209",FI,OK,""
"Vicks:323900030862",FI,OK,""
"Vicks:323900041226",FI,OK,""
"Vicks:323900041219",FI,OK,""
"Essence:954316",FI,OK,""
"Essence:954315",FI,OK,""
"Essence:942239",FI,OK,""
"Essence:942219",FI,OK,""
"Essence:934872",FI,OK,""
